Date,Close,Open,High,Low,Change %,Log_Returns
16-06-2011,1.7629,1.7529,1.7656,1.7484,0.51%,0.001700295
17-06-2011,1.7659,1.7613,1.7694,1.7505,0.17%,0.001301605
20-06-2011,1.7682,1.7607,1.7705,1.7572,0.13%,0.004232631
21-06-2011,1.7757,1.7677,1.7778,1.7671,0.42%,-0.004062982
22-06-2011,1.7685,1.773,1.7779,1.7665,-0.41%,-0.003682202
23-06-2011,1.762,1.7674,1.7699,1.7502,-0.37%,-0.002215847
24-06-2011,1.7581,1.7618,1.7665,1.7504,-0.22%,0.009172298
27-06-2011,1.7743,1.7565,1.7764,1.75,0.92%,0.003095019
28-06-2011,1.7798,1.7728,1.7844,1.7686,0.31%,0.000393225
29-06-2011,1.7805,1.7795,1.7833,1.7691,0.04%,0.000393071
30-06-2011,1.7812,1.7796,1.7862,1.774,0.04%,0.000336795
01-07-2011,1.7818,1.7801,1.7836,1.7726,0.03%,-0.000168383
04-07-2011,1.7815,1.7825,1.7871,1.7761,-0.02%,-0.005798423
05-07-2011,1.7712,1.7807,1.7839,1.767,-0.58%,-0.007594256
06-07-2011,1.7578,1.7715,1.7747,1.7556,-0.76%,-0.001423245
07-07-2011,1.7553,1.7583,1.7605,1.7435,-0.14%,-0.007605904
08-07-2011,1.742,1.7557,1.7573,1.7325,-0.76%,-0.011199101
11-07-2011,1.7226,1.7368,1.7394,1.7162,-1.11%,-0.005763705
12-07-2011,1.7127,1.7235,1.7271,1.7027,-0.57%,0.008083084
13-07-2011,1.7266,1.711,1.7312,1.7089,0.81%,-0.002900066
14-07-2011,1.7216,1.7266,1.7371,1.7174,-0.29%,0.002320725
15-07-2011,1.7256,1.7208,1.728,1.7163,0.23%,-0.005404005
18-07-2011,1.7163,1.7202,1.7237,1.706,-0.54%,0.002327883
19-07-2011,1.7203,1.715,1.7293,1.7108,0.23%,0.003423767
20-07-2011,1.7262,1.7194,1.7289,1.7156,0.34%,0.011290443
21-07-2011,1.7458,1.7264,1.748,1.7149,1.14%,-0.006263128
22-07-2011,1.7349,1.7452,1.7466,1.7301,-0.62%,0.000461015
25-07-2011,1.7357,1.7392,1.7411,1.7285,0.05%,0.005859392
26-07-2011,1.7459,1.7355,1.7477,1.7327,0.59%,-0.009264387
27-07-2011,1.7298,1.746,1.7477,1.7253,-0.92%,-0.003880801
28-07-2011,1.7231,1.7293,1.7322,1.7133,-0.39%,0.005786718
29-07-2011,1.7331,1.7217,1.7349,1.714,0.58%,-0.010848547
01-08-2011,1.7144,1.7259,1.7353,1.7069,-1.08%,-0.001517717
02-08-2011,1.7118,1.714,1.72,1.7055,-0.15%,0.008840351
03-08-2011,1.727,1.7103,1.7311,1.7098,0.89%,-0.000579207
04-08-2011,1.726,1.726,1.7347,1.7131,-0.06%,0.006928434
05-08-2011,1.738,1.7248,1.7397,1.7166,0.70%,-0.002419495
08-08-2011,1.7338,1.7425,1.7493,1.7216,-0.24%,0.002131767
09-08-2011,1.7375,1.7324,1.7409,1.7245,0.21%,-0.004152495
10-08-2011,1.7303,1.7387,1.7462,1.7233,-0.41%,-0.00416981
11-08-2011,1.7231,1.728,1.7328,1.7142,-0.42%,0.002550282
12-08-2011,1.7275,1.7225,1.7326,1.7165,0.26%,0.004101563
15-08-2011,1.7346,1.7289,1.743,1.721,0.41%,-0.002424244
16-08-2011,1.7304,1.7344,1.7376,1.727,-0.24%,0.002366592
17-08-2011,1.7345,1.7297,1.7434,1.725,0.24%,0.005290105
18-08-2011,1.7437,1.7325,1.7475,1.7322,0.53%,-0.001492195
19-08-2011,1.7411,1.7439,1.7452,1.7293,-0.15%,-0.002645504
22-08-2011,1.7365,1.7378,1.7421,1.7339,-0.26%,0.001438642
23-08-2011,1.739,1.7358,1.7451,1.7309,0.14%,0.000229991
24-08-2011,1.7394,1.7369,1.745,1.7333,0.02%,0.001149161
25-08-2011,1.7414,1.7388,1.749,1.7328,0.11%,0.001663942
26-08-2011,1.7443,1.7395,1.7461,1.7287,0.17%,0.002176155
29-08-2011,1.7481,1.7429,1.7569,1.7402,0.22%,-0.003840096
30-08-2011,1.7414,1.7479,1.7519,1.7374,-0.38%,-0.005816816
31-08-2011,1.7313,1.7404,1.7438,1.7282,-0.58%,-0.007828169
01-09-2011,1.7178,1.7306,1.7319,1.7122,-0.78%,-0.004784977
02-09-2011,1.7096,1.7163,1.7206,1.7065,-0.48%,-0.004102931
05-09-2011,1.7026,1.7059,1.7096,1.698,-0.41%,-0.004178812
06-09-2011,1.6955,1.7023,1.7223,1.6908,-0.42%,0.004120076
